schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--fin7,artifact--sha256:14233cbb0181f9d8305c47c28778fceb9dac3de0c35c120b6c832b851639a7e8,observation--sha256:5d9ed7a012b6b7e384eaec9a42ab2f2ede1c09c2727d2390915caba1c329bd89,command,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} FIN7 enegro 32 REMCOS Taiwan Academic Network AS1659 Taiwan 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C","summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} FIN7 enegro 32 REMCOS Taiwan Academic Network AS1659 Taiwan 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C",candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 42}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} FIN7 enegro 32 REMCOS Taiwan Academic Network AS1659 Taiwan 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octo",
1.0.0,actor--fin7,artifact--sha256:b2c6e85a49c8b80d88d32c4359e5762ccde3d55bd021fac926017f479d79faca,observation--sha256:5e856bf5242eda8d66d859fcdb9101936ccbef639b715569baabe692a60561c5,command,"summary/2021/rpt-mtrends-2021-fireeye.pdf {""page"": 26} FIN7 s injecting and executing arbitrary code, uploading and downloading files and executing shell commands. Mandiant has seen BEACON used by a wide range of named threat groups including APT19, APT32, APT40, APT41, FIN6, FIN7, FIN9 and FIN11, as well as nearly 300 UNC groups. • EMPIRE is a publicly available PowerShell post-exploitation framework that allows users to run PowerShell agents without the use of powershell.exe. PowerShell Emp","summary/2021/rpt-mtrends-2021-fireeye.pdf {""page"": 26} FIN7 s injecting and executing arbitrary code, uploading and downloading files and executing shell commands. Mandiant has seen BEACON used by a wide range of named threat groups including APT19, APT32, APT40, APT41, FIN6, FIN7, FIN9 and FIN11, as well as nearly 300 UNC groups. • EMPIRE is a publicly available PowerShell post-exploitation framework that allows users to run PowerShell agents without the use of powershell.exe. PowerShell Emp",candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 52}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/rpt-mtrends-2021-fireeye.pdf {""page"": 26} FIN7 s injecting and executing arbitrary code, uploading and downloading files and executing shell commands. Mandiant has seen BEACON used by a wide range of named threat groups including APT19, APT32, APT40, APT41, FIN6, FIN7, FIN9 and FIN11, as well as nearly 300 UNC groups. • EMPIRE is a publicly available PowerShell post-exploitation framework that allows users to run PowerShell agents without the use of powershell.exe. PowerShell Emp",
1.0.0,actor--fin7,artifact--sha256:465364701357cbb205f203df30d785ad10de04bd255fc9d7eef0831535becdda,observation--sha256:7d69b7c9a5fb1be042654b5c4e7fecf8a54ab49f1804af6a22ada9833457c332,command,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} FIN7 decryption of traffic from a large subset of Cobalt Strike Beacons. Top 10 Observed Offensive Security Tools Family 2021 C2s 2020 C2s Previous Notable Users Cobalt Strike 3691 1441 APT41 , Mustang Panda, Ocean Lotus, FIN7 Meterpreter 731 259 COBAL T ILLUSION Metasploit 710 1122 JointWorm (EVILNUM), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 169 27 We","summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} FIN7 decryption of traffic from a large subset of Cobalt Strike Beacons. Top 10 Observed Offensive Security Tools Family 2021 C2s 2020 C2s Previous Notable Users Cobalt Strike 3691 1441 APT41 , Mustang Panda, Ocean Lotus, FIN7 Meterpreter 731 259 COBAL T ILLUSION Metasploit 710 1122 JointWorm (EVILNUM), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 169 27 We",candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 54}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} FIN7 decryption of traffic from a large subset of Cobalt Strike Beacons. Top 10 Observed Offensive Security Tools Family 2021 C2s 2020 C2s Previous Notable Users Cobalt Strike 3691 1441 APT41 , Mustang Panda, Ocean Lotus, FIN7 Meterpreter 731 259 COBAL T ILLUSION Metasploit 710 1122 JointWorm (EVILNUM), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 1",
1.0.0,actor--fin7,artifact--sha256:a629aa9d436387fbc9e648eda0327645393763752c0289bb471f35a527225b25,observation--sha256:8f2b0f2ac035983a79d5786def5876df160ea17450407680c9138f375865f18b,command,"summary/2023/2022 Yearbook of APT group Analysis.pdf {""page"": 59} FIN7 FIN7 是一个出于经济动机的组织， 自 2015 年以来一直活跃， 主要针对零售、 餐厅和酒店行业， 2018 年 Fin7 相关领导人员被逮 捕后其攻击活动并未因此停止。 该组织热衷于使用脚本类语言开发其武器， 例如 JS （Downloader） 、 PowerShell （Downloader\Backdoor） , 同时该组织还在积 极开发扩充其武器库， 根据今年披露的情况来看该组织武器库中添加如下武器： •POWERPLANT （P","summary/2023/2022 Yearbook of APT group Analysis.pdf {""page"": 59} FIN7 FIN7 是一个出于经济动机的组织， 自 2015 年以来一直活跃， 主要针对零售、 餐厅和酒店行业， 2018 年 Fin7 相关领导人员被逮 捕后其攻击活动并未因此停止。 该组织热衷于使用脚本类语言开发其武器， 例如 JS （Downloader） 、 PowerShell （Downloader\Backdoor） , 同时该组织还在积 极开发扩充其武器库， 根据今年披露的情况来看该组织武器库中添加如下武器： •POWERPLANT （P",candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 62}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022 Yearbook of APT group Analysis.pdf {""page"": 59} FIN7 FIN7 是一个出于经济动机的组织， 自 2015 年以来一直活跃， 主要针对零售、 餐厅和酒店行业， 2018 年 Fin7 相关领导人员被逮 捕后其攻击活动并未因此停止。 该组织热衷于使用脚本类语言开发其武器， 例如 JS （Downloader） 、 PowerShell （Downloader\Backdoor） , 同时该组织还在积 极开发扩充其武器库， 根据今年披露的情况来看该组织武器库中添加如下武器： •POWERPLANT （P",
1.0.0,actor--fin7,artifact--sha256:c0c2176275f7cade835d5ffe6dfbaf5f93fbb754e37a46c2a530bb4408aeb02e,observation--sha256:462faa1aaa325580fff1559a30c9747230cfa6cd76569283f6b781d459f29ea9,command,"summary/2023/2022 Yearbook of APT group Analysis.pdf {""page"": 59} FIN7 停止。 该组织热衷于使用脚本类语言开发其武器， 例如 JS （Downloader） 、 PowerShell （Downloader\Backdoor） , 同时该组织还在积 极开发扩充其武器库， 根据今年披露的情况来看该组织武器库中添加如下武器： •POWERPLANT （PowerShell Backdoor） •CROWVIEW （Downloader） •FOWLGAZE （Downloader） 东欧APT组织活动分析 C FIN7组织 自 2021 年 8 月以来冒充美国卫生与公众服务部 (HHS) 或亚马逊邮寄 LilyGO 品牌的 USB 勒索设备，针对运输、保险和国防行 业等行业。 相关攻击活动 404高级威胁情报团队 56","summary/2023/2022 Yearbook of APT group Analysis.pdf {""page"": 59} FIN7 停止。 该组织热衷于使用脚本类语言开发其武器， 例如 JS （Downloader） 、 PowerShell （Downloader\Backdoor） , 同时该组织还在积 极开发扩充其武器库， 根据今年披露的情况来看该组织武器库中添加如下武器： •POWERPLANT （PowerShell Backdoor） •CROWVIEW （Downloader） •FOWLGAZE （Downloader） 东欧APT组织活动分析 C FIN7组织 自 2021 年 8 月以来冒充美国卫生与公众服务部 (HHS) 或亚马逊邮寄 LilyGO 品牌的 USB 勒索设备，针对运输、保险和国防行 业等行业。 相关攻击活动 404高级威胁情报团队 56",candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 63}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022 Yearbook of APT group Analysis.pdf {""page"": 59} FIN7 停止。 该组织热衷于使用脚本类语言开发其武器， 例如 JS （Downloader） 、 PowerShell （Downloader\Backdoor） , 同时该组织还在积 极开发扩充其武器库， 根据今年披露的情况来看该组织武器库中添加如下武器： •POWERPLANT （PowerShell Backdoor） •CROWVIEW （Downloader） •FOWLGAZE （Downloader） 东欧APT组织活动分析 C FIN7组织 自 2021 年 8 月以来冒充美国卫生与公众服务部 (HHS) 或亚马逊邮寄 LilyGO 品牌的 USB 勒索设备，针对运输、保险和国防行 业等行业。 相关攻击活动 404高级威胁情报团队 56",
1.0.0,actor--fin7,artifact--sha256:ba097b0ea3ff0fd63c7ee875c17ef85d16fba90e7c886ad18a7c61a08883d9ab,observation--sha256:c4cbf9cf6caf42cf83e93710fa6c9023c9d130280f69de114a2603bc6a1b9c88,command,"summary/2023/2022 Yearbook of APT group Analysis.pdf {""page"": 59} Fin7 FIN7 是一个出于经济动机的组织， 自 2015 年以来一直活跃， 主要针对零售、 餐厅和酒店行业， 2018 年 Fin7 相关领导人员被逮 捕后其攻击活动并未因此停止。 该组织热衷于使用脚本类语言开发其武器， 例如 JS （Downloader） 、 PowerShell （Downloader\Backdoor） , 同时该组织还在积 极开发扩充其武器库， 根据今年披露的情况来看该组织武器库中添加如下武器： •POWERPLANT （PowerShell Backdoor） •CROWVIEW （Downloader） •FOWLGAZE （Downl","summary/2023/2022 Yearbook of APT group Analysis.pdf {""page"": 59} Fin7 FIN7 是一个出于经济动机的组织， 自 2015 年以来一直活跃， 主要针对零售、 餐厅和酒店行业， 2018 年 Fin7 相关领导人员被逮 捕后其攻击活动并未因此停止。 该组织热衷于使用脚本类语言开发其武器， 例如 JS （Downloader） 、 PowerShell （Downloader\Backdoor） , 同时该组织还在积 极开发扩充其武器库， 根据今年披露的情况来看该组织武器库中添加如下武器： •POWERPLANT （PowerShell Backdoor） •CROWVIEW （Downloader） •FOWLGAZE （Downl",candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 64}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022 Yearbook of APT group Analysis.pdf {""page"": 59} Fin7 FIN7 是一个出于经济动机的组织， 自 2015 年以来一直活跃， 主要针对零售、 餐厅和酒店行业， 2018 年 Fin7 相关领导人员被逮 捕后其攻击活动并未因此停止。 该组织热衷于使用脚本类语言开发其武器， 例如 JS （Downloader） 、 PowerShell （Downloader\Backdoor） , 同时该组织还在积 极开发扩充其武器库， 根据今年披露的情况来看该组织武器库中添加如下武器： •POWERPLANT （PowerShell Backdoor） •CROWVIEW （Downloader） •FOWLGAZE （Downl",
1.0.0,actor--fin7,artifact--sha256:3286cebbe9163b72b9548d50f378f98048eea3634a8f8c04c0e7c26717f795df,observation--sha256:e7f4e200e55596f157274f1c05ff0df3899278410b49af0d982b0f42a31382f0,command,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 51} FIN7 - охранения и социальных служб США или Amazon, а сами посылки содержали USB-устройства под брендом Lily GO. Эти устройства использовались для запуска вредоносной ко- манды PowerShell. Она скачивала набор инструментов FIN7 для первого этапа атаки. Постэксплуатация проводилась группами REvil и BlackMatter, которые извлекали данные и развертывали программы-вымогатели.","summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 51} FIN7 - охранения и социальных служб США или Amazon, а сами посылки содержали USB-устройства под брендом Lily GO. Эти устройства использовались для запуска вредоносной ко- манды PowerShell. Она скачивала набор инструментов FIN7 для первого этапа атаки. Постэксплуатация проводилась группами REvil и BlackMatter, которые извлекали данные и развертывали программы-вымогатели",candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 77}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 51} FIN7 - охранения и социальных служб США или Amazon, а сами посылки содержали USB-устройства под брендом Lily GO. Эти устройства использовались для запуска вредоносной ко- манды PowerShell. Она скачивала набор инструментов FIN7 для первого этапа атаки. Постэксплуатация проводилась группами REvil и BlackMatter, которые извлекали данные и развертывали программы-вымогатели.",
1.0.0,actor--fin7,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:25de731ce7af1d3d5fd8422aab91a9d1242a45e6d131ba62a8dea301594f0823,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 112}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 45} FIN7 plified the broader Bring-Your-Own-Vulnerable- Driver (BYOVD) technique, a Living-Off-The-Land (LOTL) tactic favoured by many actors to evade detection by blending in with legitimate system behaviours. July witnessed FIN7 marketing their AVNeutralizer (AuKill) tool on dark web forums, capable of inducing Denial-of-Service conditions that impeded vital EDR process calls. Notably, AvosLocker, BlackCat, LockBit, Royal Ransom",
1.0.0,actor--fin7,artifact--sha256:72d524e0a41f769e5722493ee66ec1d8473277dc8e6d59a03a0999b8c9b82ca7,observation--sha256:614a7aedf9db26ade58600741893b8530adb705e8744030ac7220dec5a5ebf64,file-name,2020.pdf,2020.pdf,candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 42}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} FIN7 enegro 32 REMCOS Taiwan Academic Network AS1659 Taiwan 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octo",
1.0.0,actor--fin7,artifact--sha256:72d524e0a41f769e5722493ee66ec1d8473277dc8e6d59a03a0999b8c9b82ca7,observation--sha256:b86500f01252fe86d8350a1c7011f2a5960b8b28068dc730ad15c49c31ab12c3,file-name,2020.pdf,2020.pdf,candidate,,unknown,unknown,not-stated,,source--fin7--6269b5f18e206dc0,actor_profile/evidence/fin7.csv,"{""row"": 43}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 4} FIN7 d actors using custom tooling, however, are very likely to respond to detections by either rebuilding their components (as was the case with BazarBackdoor and TrickBot actors) or introduce entirely new tooling (which FIN7 is known to do). Due to these factors, it is important to implement security controls and mitigations against these malware families. While proactive detection of the command and control servers can help pre",
