schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--keksec,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:60bff3673873da7e103301a7a4f71fa7cb01101a495042cd8199fda7d8a1a98b,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 23} Keksec 频以感染目标系统。这种方法并不及deepfakes 技术复杂和有效，但却是APT组织开展间谍活动的常用手段。因此，随着AI技术愈发成熟，以deepfakes技 术为例的AI技术可能会逐渐在APT攻击中发挥作用。APT组织可以对地下市场公开出售的深度伪造和语音模 拟工具进行武器化，从而发起欺诈性授权交易等社会工程诈骗活动，以收集有价值的情报。 AI技术或在APT攻击中发挥作用 2022年我们观察到数十起针对加密货币行业的网络威胁活动，除了Keksec、CryptoRom、Water Labbu、Earth Lusca、Evilnum等出于经济动机的网络犯罪组织，通过控制僵尸网络在目标网络部署恶意 软件，进行加密货币窃取外，Lazarus、BlueNoroff、Konni等具有国家背景的黑客组织也在尝试使用更复 杂的攻击手法针对加密货币行业。相关攻击手段包括，伪造加密货币硬件钱包、智能合约攻击、DeFi劫持 等。DeFi",
1.0.0,actor--keksec,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:eeb5475d45f5609e425672bdbb5f26b132fc1521f17face1a05abef1815b9faa,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 41, ""sheet"": ""Unknown""} FreakOut Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-creating-a-bo",
1.0.0,actor--keksec,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:194ca25934357b52f21e05ef149a9a4258410ba671a059f664fcbde17331521c,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 41, ""sheet"": ""Unknown""} Kek Security Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-creating-a-botnet/ https://blog.",
1.0.0,actor--keksec,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:fd3828e34bcfe9b1d998fad002861e5ac660c090a84c565b1bc8d0e249d5ca28,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 41, ""sheet"": ""Unknown""} Keksec Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-crea",
1.0.0,actor--keksec,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:250a483652b8395cf9a7c0ea6bc76b70db352896e2c0ac4dc9e975deb9028a69,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 41, ""sheet"": ""Unknown""} Necro Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-creating-a-botnet/",
1.0.0,actor--keksec,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:c3e5bd9e802ae33f65ed9ee26c2adf90c38ef7c2d217ef42e5e9ae21251cf22c,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 41, ""sheet"": ""Unknown""} freakout Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-creating-a-botnet/ https://blog.netlab.360.com/not-really-new-pyhton-ddos-bot-n3cr0m0rph-necromorph/ https://blog.netlab.360.com/necro-shi-yong-tor-dong-tai-yu-ming-dga-shuang-sha-w",
1.0.0,actor--keksec,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:19d7fda50338561d6b80d311664eed0d10fd0c419af266fc84e0ff3dbc31d2d9,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025 Cyber Security Report_Final.pdf {""page"": 41} Necro Figure 24 - Top mobile malware globally – 2024. Figure 25 - Top mobile malware in the Americas – 2024. Figure 26 - Top mobile malware in EMEA – 2024. Figure 27 - Top mobile malware in APAC – 2024. Joker 24% Anubis 13% Necro 12%AhMyth 8% Other 38% Hydra 5% Joker 25% Necro 22% Anubis 10% AhMyth 7% Other 33% Hiddad 3% Joker 23% Necro 19% Anubis 12% AhMyth 9% Other 34% Hiddad 4% Necro 27% Joker 15%Anubis 10% AhMyth 12% Other 28% Hi",
1.0.0,actor--keksec,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:1bb26f1aa681644d40a7022e678040d59f40995b78f9abb9cb58726995d43e12,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 21}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025 Cyber Security Report_Final.pdf {""page"": 41} Necro Figure 25 - Top mobile malware in the Americas – 2024. Figure 26 - Top mobile malware in EMEA – 2024. Figure 27 - Top mobile malware in APAC – 2024. Joker 24% Anubis 13% Necro 12%AhMyth 8% Other 38% Hydra 5% Joker 25% Necro 22% Anubis 10% AhMyth 7% Other 33% Hiddad 3% Joker 23% Necro 19% Anubis 12% AhMyth 9% Other 34% Hiddad 4% Necro 27% Joker 15%Anubis 10% AhMyth 12% Other 28% Hiddad 7% MOBILE MALWARE GLOBAL ANALYSIS In 2024, ",
1.0.0,actor--keksec,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:6289a98a73871ebaaffe7ed0b67c1fdc8b328fa780eed274fa270c6ff1c5e672,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 22}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025 Cyber Security Report_Final.pdf {""page"": 41} Necro e 26 - Top mobile malware in EMEA – 2024. Figure 27 - Top mobile malware in APAC – 2024. Joker 24% Anubis 13% Necro 12%AhMyth 8% Other 38% Hydra 5% Joker 25% Necro 22% Anubis 10% AhMyth 7% Other 33% Hiddad 3% Joker 23% Necro 19% Anubis 12% AhMyth 9% Other 34% Hiddad 4% Necro 27% Joker 15%Anubis 10% AhMyth 12% Other 28% Hiddad 7% MOBILE MALWARE GLOBAL ANALYSIS In 2024, more than 60% of global internet traffic originated from mob",
1.0.0,actor--keksec,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:8f6eed49fff84147aad44914039b40f593229c85aa3428583d97e6ac477a480c,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--keksec--c38076f9aa0af4a9,actor_profile/evidence/keksec.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025 Cyber Security Report_Final.pdf {""page"": 41} Necro - Top mobile malware in APAC – 2024. Joker 24% Anubis 13% Necro 12%AhMyth 8% Other 38% Hydra 5% Joker 25% Necro 22% Anubis 10% AhMyth 7% Other 33% Hiddad 3% Joker 23% Necro 19% Anubis 12% AhMyth 9% Other 34% Hiddad 4% Necro 27% Joker 15%Anubis 10% AhMyth 12% Other 28% Hiddad 7% MOBILE MALWARE GLOBAL ANALYSIS In 2024, more than 60% of global internet traffic originated from mobile devices. The sensitive data stored on these devi",
