schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--scattered-spider,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:431a143e1dc0f38e65770ef307e72ba4d9b05e8a3bf17fea51d45c2ae6db4f1f,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 74}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 18} Octo Tempest . The most notable connection between Meduza Stealer and ransomware arises through its association with the threat actor group known as Scattered Spider. Scattered Spider, also tracked under various aliases such as Octo Tempest, Roasted 0ktapus, and UNC3944, is a financially motivated cyber criminal group active since at least 2022. This group is known for engaging in data extortion and has a history of deploying ",
1.0.0,actor--scattered-spider,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:7f3362299468af622546a11f6006d4fd330436bbe2667dd03bf31dffd91067e9,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 75}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 18} Roasted 0ktapus table connection between Meduza Stealer and ransomware arises through its association with the threat actor group known as Scattered Spider. Scattered Spider, also tracked under various aliases such as Octo Tempest, Roasted 0ktapus, and UNC3944, is a financially motivated cyber criminal group active since at least 2022. This group is known for engaging in data extortion and has a history of deploying multiple r",
1.0.0,actor--scattered-spider,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:3596a91565e3713b09772bf4863ab04f23e531734892bba5c05a744c03a509d2,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 76}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 18} Scattered Spider development focused on expanding the malware’s functionality. The most notable connection between Meduza Stealer and ransomware arises through its association with the threat actor group known as Scattered Spider. Scattered Spider, also tracked under various aliases such as Octo Tempest, Roasted 0ktapus, and UNC3944, is a financially motivated cyber criminal group active since at least 2022. This group is know",
1.0.0,actor--scattered-spider,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:ed952af98763e81964234c90372ad038e7c5407f433d6204d839a80f366e305c,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 77}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 18} UNC3944 en Meduza Stealer and ransomware arises through its association with the threat actor group known as Scattered Spider. Scattered Spider, also tracked under various aliases such as Octo Tempest, Roasted 0ktapus, and UNC3944, is a financially motivated cyber criminal group active since at least 2022. This group is known for engaging in data extortion and has a history of deploying multiple ransomware variants, including ",
1.0.0,actor--scattered-spider,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:09a798a0f75f66c725c430be08db360ebcd092a8c1aa0a5cb7f09862d3143516,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 78}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 19} Scattered Spider that it is a rich source of data for ransomware and criminal groups. However, we are yet to observe any public data, internal intrusions, or evidence to link the stealer to ransomware activity outside of historical Scattered Spider intrusions. Meduza Stealer C2 Global Distribution",
1.0.0,actor--scattered-spider,artifact--sha256:f74a09f1797a5226e819aaae7cab7ceee80913360c0950a6c21dcd3444a13ff1,observation--sha256:19b907255d9888c9f9a7596ae0bbeacec2a54503b07328a09630bee704ec53e9,file-name,2024-Customer-Identity-Security-in-Finance.pdf,2024-Customer-Identity-Security-in-Finance.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2024-Customer-Identity-Security-in-Finance.pdf {""page"": 4} Scattered Spider (29%), identity impersonation (28%) and push notification attacks (27%). Rare just a few years ago, push notification attacks (also known as MFA prompt bombing), are now a favorite technique of hacking groups such as Scattered Spider, infamous for the $100 million attack on MGM Resorts. Figure 1: What, if any, types of cyber-attack has your organization faced in the last 12 months? Types of Cyberattacks Face",
1.0.0,actor--scattered-spider,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:8654a19b0946cd7e19397e421fa753a5d771f77f85593215a7d650fef2b3d915,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 12} Octo Tempest y motivated Cyber campaigns or groups directed by a criminal organization or person with motivations of financial gain and are not associated with high confidence to a known non-nation-state or commercial entity. Octo Tempest C Dt R Groups in development A temporary designation given to unknown, emerging, or developing threat activity. This designation allows Microsoft to track a group as a discrete set of informati",
1.0.0,actor--scattered-spider,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:3d1a441e160912a6ec1b34ac9374c00539119e5d213bb0a1b078663df63454fa,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 25}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 2} Octo Tempest cybercriminals 17 The many faces of hybrid war 18 Deterring the most advanced threats 22 Election interference 24 Ransomware 27 Landscape and trends 27 How cybercriminals are tampering with security products 28 Octo Tempest: a case study and a cautionary tale 29 Disrupting ransomware threat actors 30 The evolving cyber threat landscape Centering our organizations on security Early insights: AI’s impact on cybersecuri",
1.0.0,actor--scattered-spider,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:0c82a4b5cbab99cce27636013639cb3aeb86dc56c3be19c05ef364eb6c533684,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 30} Octo Tempest evolving cyber threat landscape Introduction Nation-state threatsRansomwareFraud Identity and social engineering DDoS attacks Centering our organizations on security Early insights: AI’s impact on cybersecurity Appendix Octo Tempest: a case study and a cautionary tale A notable development in the evolution of ransomware attacks since last year’s report is the increase in hybrid attacks targeting both on- premises an",
1.0.0,actor--scattered-spider,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:61ccb05a7a17ceec314043027862860b8609aaade14c8184f953fca273724985,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--scattered-spider--20a695a20abec121,actor_profile/evidence/scattered-spider.csv,"{""row"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 30} Octo Tempest targeting both on- premises and cloud assets. At a time when sophisticated threat actors are continuing to add new tactics, techniques, and procedures (TTPs) to their already wide-ranging playbooks, the threat actor Octo Tempest (aka Scattered Spider) offers a good example of this evolution and growth. Octo Tempest is a financially motivated cybercriminal group known for wide-ranging campaigns that feature adversary",
