original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 3, ""sheet"": ""Iran""}",Cleaver,"Cutting Kitten TG-2889 Ghambar COBALT GYPSY Cutting Kitten G0059 Cleaver TinyZBot, PupyRAT This threat actor targets governments and private sector entities for espionage and sabotage purposes. It is believed to be responsible for compromising U.S. Navy computers at the Navy Marine Corps Int"
APT Groups and Operations.xlsx,"{""row"": 3, ""sheet"": ""Iran""}",Cleaver,Air COBALT GYPSY overlap with OilRig http://www.secureworks.com/cyber-threat-intelligence/threats/suspected-iran-based-hacker-group-creates-network-of-fake-linkedin-profiles/ https://cdn2.hubspot.net/hubfs/270968/assets/Cleaver/Cylance_Operation_Cleaver_Report.pdf https://www.secureworks.com/research/the-curious-case-of-mia-ash
APT Groups and Operations.xlsx,"{""row"": 3, ""sheet"": ""Iran""}",Cleaver,ith OilRig http://www.secureworks.com/cyber-threat-intelligence/threats/suspected-iran-based-hacker-group-creates-network-of-fake-linkedin-profiles/ https://cdn2.hubspot.net/hubfs/270968/assets/Cleaver/Cylance_Operation_Cleaver_Report.pdf https://www.secureworks.com/research/the-curious-case-of-mia-ash
APT Groups and Operations.xlsx,"{""row"": 3, ""sheet"": ""Iran""}",TG-2889,"Cutting Kitten TG-2889 Ghambar COBALT GYPSY Cutting Kitten G0059 Cleaver TinyZBot, PupyRAT This threat actor targets governments and private sector entities for espionage and sabotage purposes. It is believed to be responsible for compromisin"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",TG-2889,"............. 67 Covellite ........................................................................................................................................................................... 68 Cutting Kitten, TG-2889 ................................................................................................................................................. 69 Dark Caracal ........................................................"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 69}",Cleaver,"69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). Thi"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 69}",Cleaver,"e-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). This group evolved into Magic Hound, APT 35, Cobalt Gypsy, Rocket Kitten. Observed Sectors: Aerospace, Airlines, Airports, Ch"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 69}",TG-2889,"Threat Group Cards: A Threat Actor Encyclopedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has b"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 69}",TG-2889,"Threat Group Cards: A Threat Actor Encyclopedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is resp"
Threat Group Cards.pdf,"{""page"": 3}",TG-2889,"....................................... 67 Covellite ................................................................................................................................................. 68 Cutting Kitten, TG-2889 ....................................................................................................................... 69 Dark Caracal .................................................................................."
Threat Group Cards.pdf,"{""page"": 69}",Cleaver,"pedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). Thi"
Threat Group Cards.pdf,"{""page"": 69}",Cleaver,"e-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). This group evolved into Magic Hound, APT 35, Cobalt Gypsy, Rocket Kitten. Observed Sectors: Aerospace, Airlines, Airports, Ch"
Threat Group Cards.pdf,"{""page"": 69}",TG-2889,"Threat Group Cards: A Threat Actor Encyclopedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has b"
Threat Group Cards.pdf,"{""page"": 69}",TG-2889,"Threat Group Cards: A Threat Actor Encyclopedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is resp"
Threat_Group_Cards_v2.0.pdf,"{""page"": 3}",TG-2889,"............. 93 Covellite ........................................................................................................................................................................... 94 Cutting Kitten, TG-2889 ................................................................................................................................................. 95 Cyber Berkut ........................................................"
Threat_Group_Cards_v2.0.pdf,"{""page"": 95}",Cleaver,"ing Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage First seen 2012 Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). Thi"
Threat_Group_Cards_v2.0.pdf,"{""page"": 95}",Cleaver,"rity company ITSecTeam Motivation Information theft and espionage First seen 2012 Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). This group evolved into Magic Hound, APT 35, Cobalt Gypsy, Charming Kitten. Observed Sectors: Aerospace, Aviation, Chemical,"
Threat_Group_Cards_v2.0.pdf,"{""page"": 95}",TG-2889,"Threat Group Cards: A Threat Actor Encyclopedia 95 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage First seen 2012 Description Cleaver is a threat"
