original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 22, ""sheet"": ""Iran""}",Domestic Kitten,Domestic Kitten Domestic Kitten https://research.checkpoint.com/domestic-kitten-an-iranian-surveillance-operation/ https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Domestic Kitten,................................... 78 DNSpionage .................................................................................................................................................................... 80 Domestic Kitten ............................................................................................................................................................... 81 Donot Team ............................................
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 81}",Domestic Kitten,Threat Group Cards: A Threat Actor Encyclopedia 81 Domestic Kitten Names Domestic Kitten (Check Point) Country Iran Motivation Information theft and espionage Description (Check Point) Recent investigations by Check Point researchers reveal an extensive and targeted attack that ha
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 81}",Domestic Kitten,Threat Group Cards: A Threat Actor Encyclopedia 81 Domestic Kitten Names Domestic Kitten (Check Point) Country Iran Motivation Information theft and espionage Description (Check Point) Recent investigations by Check Point researchers reveal an extensive and targeted attack that has been taking place sin
Threat Group Cards.pdf,"{""page"": 3}",Domestic Kitten,............................................................. 78 DNSpionage .......................................................................................................................................... 80 Domestic Kitten..................................................................................................................................... 81 Donot Team........................................................................
Threat Group Cards.pdf,"{""page"": 81}",Domestic Kitten,Threat Group Cards: A Threat Actor Encyclopedia 81 Domestic Kitten Names Domestic Kitten (Check Point) Country Iran Motivation Information theft and espionage Description (Check Point) Recent investigations by Check Point researchers reveal an extensive and targeted attack that ha
Threat Group Cards.pdf,"{""page"": 81}",Domestic Kitten,Threat Group Cards: A Threat Actor Encyclopedia 81 Domestic Kitten Names Domestic Kitten (Check Point) Country Iran Motivation Information theft and espionage Description (Check Point) Recent investigations by Check Point researchers reveal an extensive and targeted attack that has been taking place sin
Threat_Group_Cards_v2.0.pdf,"{""page"": 109}",Domestic Kitten,Threat Group Cards: A Threat Actor Encyclopedia 109 Domestic Kitten Names Domestic Kitten (Check Point) Country Iran Motivation Information theft and espionage First seen 2016 Description (Check Point) Recent investigations by Check Point researchers reveal an extensive and target
Threat_Group_Cards_v2.0.pdf,"{""page"": 109}",Domestic Kitten,Threat Group Cards: A Threat Actor Encyclopedia 109 Domestic Kitten Names Domestic Kitten (Check Point) Country Iran Motivation Information theft and espionage First seen 2016 Description (Check Point) Recent investigations by Check Point researchers reveal an extensive and targeted attack that has been
Threat_Group_Cards_v2.0.pdf,"{""page"": 3}",Domestic Kitten,................................... 106 DNSpionage .................................................................................................................................................................. 108 Domestic Kitten ............................................................................................................................................................. 109
summary/2020/APT-blackberry-mobile-malware-report.pdf,"{""page"": 16}",DOMESTIC KITTEN,"llowing this early activity, it was clear the Iranian government took on significant development efforts, as revealed in the exposure of several subsequent and more sophisticated mobile campaigns such as Check Point’s DOMESTIC KITTEN report last year (Check Point Research, 2018) . In their report, Check Point detailed how a more advanced set of Android malware was quickly leveraged in a prolonged campaign of Iranian government espionage that was"
summary/2020/APT-blackberry-mobile-malware-report.pdf,"{""page"": 17}",DOMESTIC KITTEN,"ded on the intelligence for the public to better understand and assess this threat . In Check Point’s follow-up post published a month later and referred to above, a number of additional details were released regarding DOMESTIC KITTEN, including the name of one of the more complex Android samples BlackBerry researchers observed: “com .eracomteck/ example .badoo” . This Android malware is relatively unique, and BlackBerry researchers used it along w"
summary/2020/APT-blackberry-mobile-malware-report.pdf,"{""page"": 17}",DOMESTIC KITTEN,"long with other forensic indicators to draw a clear connection to a different campaign written about in a June 2019 report by TrendMicro called “Bouncing Golf” (Xu & Guo, 2019) . TrendMicro noticed the connection to DOMESTIC KITTEN but did not adhere to it conclusively . In our view, “Bouncing Golf” was very clearly a continuation of DOMESTIC KITTEN’s activities . What’s significant about that connection is that it represents a dramatic shift in"
summary/2020/APT-blackberry-mobile-malware-report.pdf,"{""page"": 17}",DOMESTIC KITTEN,"rt by TrendMicro called “Bouncing Golf” (Xu & Guo, 2019) . TrendMicro noticed the connection to DOMESTIC KITTEN but did not adhere to it conclusively . In our view, “Bouncing Golf” was very clearly a continuation of DOMESTIC KITTEN’s activities . What’s significant about that connection is that it represents a dramatic shift in targeting from domestic to foreign espionage . The majority of the data TrendMicro was able to identify in the most rec"
summary/2020/APT-blackberry-mobile-malware-report.pdf,"{""page"": 18}",DOMESTIC KITTEN,"MUDDYWATER GOES MOBILE BlackBerry researchers uncovered how DOMESTIC KITTEN, an Iranian APT group that uses mobile malware, has expanded its portfolio from domestic target to include foreign espionage targets in a short amount of time . Let’s consider another example, this time with another I"
summary/2023/2022cyberComprehensiveSituationObservationManual.pdf,"{""page"": 19}",Domestic Kitten,织攻击以色列和美国前高级官员 ·游走于中东的魅影--APT组织AridViper近期攻击活动分析 ·Lyceum组织以军事热点事件为诱饵针对中东地区的定向攻击 ·Cunning Kitten针对中东相关人士的威胁组织 ·Bahamut Android恶意软件新变体分析 2022.06 ·MERCURY组织利用Log4j 2漏洞攻击以色列组织2022.08 ·DeftTorero：来自中东的APT组织披露 ·APT-C-50 组织通过“Domestic Kitten”活动监视伊朗公民 2022.10 ·长达十年的持续攻击—针对利比亚的政治主题攻击活动2022.11 社工、钓鱼针对多国地区公民 今年6月份，安恒中央研究院猎影实验室追踪到一系列针对中东相关政治活动人士的攻击活动。经研究，这些 活动来自于一个新的威胁组织，这一攻击者至少自2021年9月便开始活跃，为方便追踪，我们将其命名为 Cunning Kitten（安恒信息内部追踪代号为“APT-LY-1002”）。 Cunning Kitten至
