original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 43, ""sheet"": ""China""}",Iron Group,"Iron Group Rocke XBash Cybercrime, Cryptomining, Cryptojacking https://researchcenter.paloaltonetworks.com/2018/09/unit42-xbash-combines-botnet-ransomware-coinmining-worm-targets-linux-windows/ https://blog.talosintelligence.com/2"
APT Groups and Operations.xlsx,"{""row"": 43, ""sheet"": ""China""}",Rocke,"Iron Group Rocke XBash Cybercrime, Cryptomining, Cryptojacking https://researchcenter.paloaltonetworks.com/2018/09/unit42-xbash-combines-botnet-ransomware-coinmining-worm-targets-linux-windows/ https://blog.talosintelligence.com/2018/12"
APT Groups and Operations.xlsx,"{""row"": 43, ""sheet"": ""China""}",rocke,.com/2018/09/unit42-xbash-combines-botnet-ransomware-coinmining-worm-targets-linux-windows/ https://blog.talosintelligence.com/2018/12/cryptomining-campaigns-2018.html https://unit42.paloaltonetworks.com/malware-used-by-rocke-group-evolves-to-evade-detection-by-cloud-security-products/ https://blog.talosintelligence.com/2018/08/rocke-champion-of-monero-miners.html https://www.anomali.com/blog/rocke-evolves-its-arsenal-with-a-new-malware-fami
APT Groups and Operations.xlsx,"{""row"": 43, ""sheet"": ""China""}",rocke,intelligence.com/2018/12/cryptomining-campaigns-2018.html https://unit42.paloaltonetworks.com/malware-used-by-rocke-group-evolves-to-evade-detection-by-cloud-security-products/ https://blog.talosintelligence.com/2018/08/rocke-champion-of-monero-miners.html https://www.anomali.com/blog/rocke-evolves-its-arsenal-with-a-new-malware-family-written-in-golang#When:18:10:00Z
APT Groups and Operations.xlsx,"{""row"": 43, ""sheet"": ""China""}",rocke,unit42.paloaltonetworks.com/malware-used-by-rocke-group-evolves-to-evade-detection-by-cloud-security-products/ https://blog.talosintelligence.com/2018/08/rocke-champion-of-monero-miners.html https://www.anomali.com/blog/rocke-evolves-its-arsenal-with-a-new-malware-family-written-in-golang#When:18:10:00Z
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 266}",Rocke,Group has been using a cryptomining malware that has gone undetected on other engines. <https://www.intezer.com/blog-pacha-group-deploying-undetected- cryptojacking-campaigns/> May 2019 Pacha Group Competing against Rocke Group for Cryptocurrency Mining Foothold on the Cloud <https://www.intezer.com/blog-technical-analysis-cryptocurrency- mining-war-on-the-cloud/> Information <https://www.intezer.com/blog-technical-analysis-pacha-grou
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 268}",Rocke,"Threat Group Cards: A Threat Actor Encyclopedia 268 Rocke Names Rocke (Talos) Country China Motivation Financial gain Description (Talos) This threat actor initially came to our attention in April 2018, leveraging both Western and Chinese Git repositories to deliver malwa"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 268}",Rocke,"Threat Group Cards: A Threat Actor Encyclopedia 268 Rocke Names Rocke (Talos) Country China Motivation Financial gain Description (Talos) This threat actor initially came to our attention in April 2018, leveraging both Western and Chinese Git repositories to deliver malware to honeypo"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 268}",Rocke,s about the actor. Observed Tools used Apache Struts and Xbash. Operations performed Jan 2019 Palo Alto Networks Unit 42 recently captured and investigated new samples of the Linux coin mining malware used by the Rocke group. The family was suspected to be developed by the Iron cybercrime group and it’s also associated with the Xbash malware we reported on in September of 2018. The threat actor Rocke was originally revealed by Tal
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 7}",Rocke,.................................. 266 Pinchy Spider ................................................................................................................................................................ 267 Rocke ............................................................................................................................................................................. 268 Shadow Brokers .........................
