original_source_path,original_source_location,matched_name,context_excerpt
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 14}",Moonstone Sleet,"ng indicates that the regime has been authorizing “side gigs” and new missions, suggesting that we may see more North Koreans experimenting with cybercriminal operations to meet their quotas. According to a blog on Moonstone Sleet actors— whose malware bears some similarities to historic TEMP.Hermit malware—using the Qilin ransomware gang’s payload to compromise several targets. This is one of the first reported instances of a North Korean th"
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 15}",Moonstone Sleet,43 • APT45 • Konni • ITW • Ruby Sleet • CryptoCore • TraderTraitor • AppleJeus • Front Companies Program Development 2025 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • Gwisin Gang • Malicious ITW • Moonstone Sleet • AI Unit227 • CryptoCore • TraderTraitor • AppleJeus • Crypto Crime • Front Companies ASSESSMENT : Original Hackers Then to Now 2014-15 • TEMP.Hermit • APT37 • APT38 • APT43 • APT45 • Konni INITIAL RECRUITS NOW CADRE
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 26}",Moonstone Sleet,EXPOSING DPRK’S CYBER SYNDICATE AND HIDDEN IT WORKFORCE 26 Moonstone Sleet (a.k.a. Storm-1789) Moonstone Sleet has been active since at least 2023 and has notable overlaps with historic TEMP.Hermit Comebacker malware. Moonstone Sleet conducts financial operations targeting cryptocurrency an
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 8}",Moonstone Sleet,nue IT Workers M-ITW = Malicious IT Workers GSD = General Staff Department RGB = Reconnaissance General Bureau MSS = Ministry of State Security R-ITW CHINYONG M-ITW M-ITW M-ITW 227 RESEARCH CENTER (AI) Gwisin Gang Moonstone Sleet TEMP.Hermit + AppleJeus Poss ITW CryptoCore TraderTraitor Workers’ Party of Korea R-ITW MID MND APT37 Poss Legacy Lab 110 GSD Espionage + Legacy 970th Espionage DPRK Cyber to Physical Organization Assessment Groups w
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 8}",Moonstone Sleet,nue IT Workers M-ITW = Malicious IT Workers GSD = General Staff Department RGB = Reconnaissance General Bureau MSS = Ministry of State Security R-ITW CHINYONG M-ITW M-ITW M-ITW 227 RESEARCH CENTER (AI) Gwisin Gang Moonstone Sleet TEMP.Hermit + AppleJeus Poss ITW CryptoCore TraderTraitor Workers’ Party of Korea R-ITW
International Strategic/Korea/ Blurred-Lines-of-Cyber-Threat-Attribution.pdf,"{""page"": 7}",Moonstone Sleet,"2024 Zscaler, Inc. All rights reserved Expansion of Lazarus group 1 Feb 2016: Operation BlockBuster published 2 Jun 2018: AppleJeus Cluster identified Aligned with Moonstone Sleet 3 4 5 6 Feb 2018: ThreatNeedle Cluster identified Jul 2018: Bookcode Cluster identified Oct 2018: DeathNote Cluster identified Aug 2020: CookieTime Cluster identified Aligned with Jade Sleet Aligned with Diamond Sl"
International Strategic/Korea/ Blurred-Lines-of-Cyber-Threat-Attribution.pdf,"{""page"": 8}",Moonstone Sleet,"techniques ▪ Overlapping command-and-control (C2) infrastructure Differences ▪ Distinct Tactics, Techniques, and Procedures (TTPs) ▪ Divergent targeting objectives and operational focus Lazarus Umbrella Diamond Sleet Moonstone Sleet Citrine Sleet Jade Sleet"
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 14}",Moonstone Sleet,"ng indicates that the regime has been authorizing “side gigs” and new missions, suggesting that we may see more North Koreans experimenting with cybercriminal operations to meet their quotas. According to a blog on Moonstone Sleet actors— whose malware bears some similarities to historic TEMP.Hermit malware—using the Qilin ransomware gang’s payload to compromise several targets. This is one of the first reported instances of a North Korean th"
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 15}",Moonstone Sleet,43 • APT45 • Konni • ITW • Ruby Sleet • CryptoCore • TraderTraitor • AppleJeus • Front Companies Program Development 2025 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • Gwisin Gang • Malicious ITW • Moonstone Sleet • AI Unit227 • CryptoCore • TraderTraitor • AppleJeus • Crypto Crime • Front Companies ASSESSMENT : Original Hackers Then to Now 2014-15 • TEMP.Hermit • APT37 • APT38 • APT43 • APT45 • Konni INITIAL RECRUITS NOW CADRE
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 26}",Moonstone Sleet,EXPOSING DPRK’S CYBER SYNDICATE AND HIDDEN IT WORKFORCE 26 Moonstone Sleet (a.k.a. Storm-1789) Moonstone Sleet has been active since at least 2023 and has notable overlaps with historic TEMP.Hermit Comebacker malware. Moonstone Sleet conducts financial operations targeting cryptocurrency an
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 8}",Moonstone Sleet,nue IT Workers M-ITW = Malicious IT Workers GSD = General Staff Department RGB = Reconnaissance General Bureau MSS = Ministry of State Security R-ITW CHINYONG M-ITW M-ITW M-ITW 227 RESEARCH CENTER (AI) Gwisin Gang Moonstone Sleet TEMP.Hermit + AppleJeus Poss ITW CryptoCore TraderTraitor Workers’ Party of Korea R-ITW MID MND APT37 Poss Legacy Lab 110 GSD Espionage + Legacy 970th Espionage DPRK Cyber to Physical Organization Assessment Groups w
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 8}",Moonstone Sleet,nue IT Workers M-ITW = Malicious IT Workers GSD = General Staff Department RGB = Reconnaissance General Bureau MSS = Ministry of State Security R-ITW CHINYONG M-ITW M-ITW M-ITW 227 RESEARCH CENTER (AI) Gwisin Gang Moonstone Sleet TEMP.Hermit + AppleJeus Poss ITW CryptoCore TraderTraitor Workers’ Party of Korea R-ITW
International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf,"{""page"": 25}",Moonstone Sleet,"23 Unconfirmed Affiliation: Moonstone Sleet The DPRK-affiliated group Moonstone Sleet deploys ransomware, conducts espionage operations, and has, in some instances, cooperated with DPRK IT workers to conduct other financially -motivated operations to fund WM"
International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf,"{""page"": 25}",Moonstone Sleet,"23 Unconfirmed Affiliation: Moonstone Sleet The DPRK-affiliated group Moonstone Sleet deploys ransomware, conducts espionage operations, and has, in some instances, cooperated with DPRK IT workers to conduct other financially -motivated operations to fund WMD and ballistic missile programs in in defian"
International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf,"{""page"": 25}",Moonstone Sleet,"ssociated site, detankwar[.]com, with the aim to obtain device and account credentials from victims and steal cryptocurrency according to an MSMT Participating State .60 During the same period, according to Microsoft, Moonstone Sleet actors established a fake company called C.C. Waterfall to promote a fully functional but malicious online game that the actors developed called , “DeTankWar,” which was a fraudulent copy of a real game, ”DeFi Tank L"
International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf,"{""page"": 25}",Moonstone Sleet,"tablished a fake company called C.C. Waterfall to promote a fully functional but malicious online game that the actors developed called , “DeTankWar,” which was a fraudulent copy of a real game, ”DeFi Tank Land.” The Moonstone Sleet actors publicized their fake game in social media spoofing the legitimate domain ”defitankland[.]com,” as ”detankwar[.]com” and ”defitankzone[.]com,” indicating a connection between some known DPRK IT worker compani"
International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf,"{""page"": 4}",Moonstone Sleet,".................................................................... 21 Ministry of National Defense (MND, KPe.054). ........................................................................ 22 Unconfirmed Affiliation: Moonstone Sleet. .............................................................................. 23 Unconfirmed Affiliation: Contagious Interview. ....................................................................... 23 Ⅱ. DPRK Cryp"
cybercrime/2024/Semiannual+Ransomware+Report+-+H1+2024.pdf,"{""page"": 10}",Moonstone Sleet,"g the regime's objectives, which include generating revenue through illicit means like cryptocurrency theft, gathering of intelligence, disrupting adversaries, and supporting broader geopolitical goals. Groups like Moonstone Sleet, identified by Microsoft in May, have emerged and showcased advanced capabilities in ransomware deployment and complex malicious toolsets. The addition of ransomware capabilities, resembling other North Korean actors"
