schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--threat-group-3390,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:14ae642d115047d15810dd52c5f35f21da633f37843afbda5b10c376bd225f23,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 64}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 24} APT27 make the C2 traffic appear innocuous to the target. 87 We assess these activities were likely indicative of intelligence collection as Russian forces mobilised ahead of the invasion into Ukraine. Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse) remained an ever-present and active threat throughout 2022. In January 2022, Germany’s Federal Office for the Protection of the Constitution (BfV) released a public blog 88 providing",
1.0.0,actor--threat-group-3390,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:5386e04e12d82ccd8a1649e42f2d7efc57dd9309a2ec2339f093cea6d45ec107,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 65}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 24} Emissary Panda he C2 traffic appear innocuous to the target. 87 We assess these activities were likely indicative of intelligence collection as Russian forces mobilised ahead of the invasion into Ukraine. Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse) remained an ever-present and active threat throughout 2022. In January 2022, Germany’s Federal Office for the Protection of the Constitution (BfV) released a public blog 88 provid",
1.0.0,actor--threat-group-3390,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:e6e24fdf7c1b8ae1565191175bc42fe63a0f602d74a1c8fb0653037d92e76014,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 66}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 24} LuckyMouse pear innocuous to the target. 87 We assess these activities were likely indicative of intelligence collection as Russian forces mobilised ahead of the invasion into Ukraine. Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse) remained an ever-present and active threat throughout 2022. In January 2022, Germany’s Federal Office for the Protection of the Constitution (BfV) released a public blog 88 providing technical detail",
1.0.0,actor--threat-group-3390,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:2ea4ed036b1f02b361e4686b34928670be8d731a3f544c679d3a51dea563b2ca,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 67}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 25} APT27 24 | Cyber Threats 2022: A Year in Retrospect Red Phoenix, hyped and focused HyperBro The HyperBro backdoor has long been associated with Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse). The threat actor uses legitimate binaries to side-load malicious DLLs and drop HyperBro onto victim machines, a technique Red Phoenix has employed since 2015. One indicator of HyperBro m",
1.0.0,actor--threat-group-3390,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:447d17407b478d102b03cab3a814929bf69cb4520e753a3572df07103d29a4db,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 68}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 25} LuckyMouse 24 | Cyber Threats 2022: A Year in Retrospect Red Phoenix, hyped and focused HyperBro The HyperBro backdoor has long been associated with Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse). The threat actor uses legitimate binaries to side-load malicious DLLs and drop HyperBro onto victim machines, a technique Red Phoenix has employed since 2015. One indicator of HyperBro malware is the presence of a s",
1.0.0,actor--threat-group-3390,artifact--sha256:9365a40437187c9daa31e4d67d8a34da9788de1d185c0da155996c6f4ad8cea2,observation--sha256:5c20195d18581bb259545623b7a2b84ba6f7b7e45cb593eb44301b7c90eb2682,file-name,A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf,A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf {""page"": 16} LuckyMouse . It isoverseenbytheCCPPolitburoStandingCommittee, whichgathersthemost influential membersof thePolitburoof theCCP. MSSoperationsareagreat indicator of thestrategicobjectivesof theCCP. APT40, APT41, APT31, MustangPanda, LuckyMouse, andAPT10areactiveChina-nexusintrusionsetsdirectlyassociatedwiththeMSSandconductingintelligencegatheringandlucrativecampaigns.APT41 c",
1.0.0,actor--threat-group-3390,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:aec93ef2e4a599e6ca9ec4439e7c5315a692985a7124d33b5ce1a875f48081e1,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 3} Bronze Union 89 Equation Group ............................................................................................................................................................... 92 Emissary Panda, APT 27, LuckyMouse, Bronze Union ........................................................................................... 94 FIN4, Wolf Spider ....................................................................................................",
1.0.0,actor--threat-group-3390,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b434f6184125111ddccea0af9eadd283bea6c3af916d625b4283b3f715c91783,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 3} Emissary Panda .................................... 89 Equation Group ............................................................................................................................................................... 92 Emissary Panda, APT 27, LuckyMouse, Bronze Union ........................................................................................... 94 FIN4, Wolf Spider .............................................................",
1.0.0,actor--threat-group-3390,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:314d95cfcc718c77cd97b1b15407c5be6042a4a9b3e4ebaddd5278ce4707b033,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 3} LuckyMouse ............ 89 Equation Group ............................................................................................................................................................... 92 Emissary Panda, APT 27, LuckyMouse, Bronze Union ........................................................................................... 94 FIN4, Wolf Spider .........................................................................................",
1.0.0,actor--threat-group-3390,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:8774cce6c7de0128ad95feae61012727982038ea425089d28c07a391b6f31170,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--threat-group-3390--d3fae7c81ec01a26,actor_profile/evidence/threat-group-3390.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 94} Emissary Panda Threat Group Cards: A Threat Actor Encyclopedia 94 Emissary Panda, APT 27, LuckyMouse, Bronze Union Names Emissary Panda (CrowdStrike) APT 27 (Mandiant) LuckyMouse (Kaspersky) Bronze Union (Scureworks) TG-3390 (SecureWorks) TEMP.Hippo (Symantec) Group 35 (Talos) Country China",
