schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--contagious-interview,artifact--sha256:f27c36035c2b8b4c795b0f9d5815259474668b99769ab09c2aeabdc66e4dd1bb,observation--sha256:f65a218b1b45013fbd7807bb17d11850e8801d5614cb873b360099ff7e0a10f6,command,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 42} Contagious Interview malicious code through mshta.exe. Originally being utilised in cyber crime with TA571, we have seen a much wider adoption by nation-state groups such as MuddyWater (Iran), APT28 (Russia), and DPRK intrusion sets namely Contagious Interview and Kimsuky. ClickFix also continues to be persistently used across information stealers. We are yet to see this play out with ransomware intrusions at this time, which we believe is a natural avenue for delivery with","summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 42} Contagious Interview malicious code through mshta.exe. Originally being utilised in cyber crime with TA571, we have seen a much wider adoption by nation-state groups such as MuddyWater (Iran), APT28 (Russia), and DPRK intrusion sets namely Contagious Interview and Kimsuky. ClickFix also continues to be persistently used across information stealers. We are yet to see this play out with ransomware intrusions at this time, which we believe is a natural avenue for delivery with",candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 33}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 42} Contagious Interview malicious code through mshta.exe. Originally being utilised in cyber crime with TA571, we have seen a much wider adoption by nation-state groups such as MuddyWater (Iran), APT28 (Russia), and DPRK intrusion sets namely Contagious Interview and Kimsuky. ClickFix also continues to be persistently used across information stealers. We are yet to see this play out with ransomware intrusions at this time, which ",
1.0.0,actor--contagious-interview,artifact--sha256:e27f840ada108771edb119ec317f69522dab0ebb23aa399566c0446757ed1714,observation--sha256:dfc2716e8d82b4d000a7baa4a8a05a420a9044ede098216ba45427bbd3754a63,command,"summary/2026/eset-apt-activity-report-q4-2025-q1-2026.pdf {""page"": 17} DeceptiveDevelopment or all major desktop platforms – Windows, Linux, and macOS – as well as script alternatives in Python, PowerShell, JavaScript, and for the very first time, also in Perl. From fake recruiters to trusted code editors: DeceptiveDevelopment updates its tradecraft In recent months, DeceptiveDevelopment has put greater effort into how code gets executed than into replacing its established malware families. Based on our telemetry, recent compromises began","summary/2026/eset-apt-activity-report-q4-2025-q1-2026.pdf {""page"": 17} DeceptiveDevelopment or all major desktop platforms – Windows, Linux, and macOS – as well as script alternatives in Python, PowerShell, JavaScript, and for the very first time, also in Perl. From fake recruiters to trusted code editors: DeceptiveDevelopment updates its tradecraft In recent months, DeceptiveDevelopment has put greater effort into how code gets executed than into replacing its established malware families. Based on our telemetry, recent compromises began",candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 60}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/eset-apt-activity-report-q4-2025-q1-2026.pdf {""page"": 17} DeceptiveDevelopment or all major desktop platforms – Windows, Linux, and macOS – as well as script alternatives in Python, PowerShell, JavaScript, and for the very first time, also in Perl. From fake recruiters to trusted code editors: DeceptiveDevelopment updates its tradecraft In recent months, DeceptiveDevelopment has put greater effort into how code gets executed than into replacing its established malware families. Base",
1.0.0,actor--contagious-interview,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:eff840331bdc6f8d47016058a78701e7017155d3dd594b43ed0e2514a806da7a,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 33}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 42} Contagious Interview malicious code through mshta.exe. Originally being utilised in cyber crime with TA571, we have seen a much wider adoption by nation-state groups such as MuddyWater (Iran), APT28 (Russia), and DPRK intrusion sets namely Contagious Interview and Kimsuky. ClickFix also continues to be persistently used across information stealers. We are yet to see this play out with ransomware intrusions at this time, which ",
1.0.0,actor--contagious-interview,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:d8effc225244367ad9168f20450d7435e98428ba688ac78024ca167b4d0a399d,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 34}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 43} Contagious Interview roup who was observed deploying ransomware in 2024, shares several techniques with Contagious Interview campaigns. With the shared tooling and infrastructure overlaps in North Korea, there may be adjacent groups to Contagious Interview beginning to implement ClickFix as well. It should also be highlighted that MuddyWater has previously deployed ransomware with other destructive attacks and may begin to use",
1.0.0,actor--contagious-interview,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:c4ec5b0199863fd4e5e3f4560ea9a5274929d46f63965ff0f8804587cf8c9fc1,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 35}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 44} Contagious Interview Notable Threat Actors using ClickFix In October 2024, UAC-0001 (APT28, Forest Blizzard) targeted the Ukrainian government mimicking a Google spreadsheet. January 2025 saw ClickFix being used via Lazarus’s established Contagious Interview operation. This involved inviting candidates to a fake Willo Video Interview where they attempted to execute code on the users’ machines under the guise of fixing a falsel",
1.0.0,actor--contagious-interview,artifact--sha256:ba630f121100fa58dfa33f498e719bfe14d2d4e5caa864362dca9cdf6e768d7b,observation--sha256:373d00f58ad9165fd3d0446f6c4389d4a58b5c3099ac07a8f0e12e18dc7a700e,file-name,2025-Blockchain-Security-and-AML-Annual-Report.pdf,2025-Blockchain-Security-and-AML-Annual-Report.pdf,candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 32}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-Blockchain-Security-and-AML-Annual-Report.pdf {""page"": 83} Contagious Interview multiple public incidents demonstrated that social engineering attacks have become the core and most scalable initial entry method for North Korean hackers. By masquerading as recruitment or interview processes (e.g., Contagious Interview, ClickFake Interview), attackers proactively contact targets on platforms such as LinkedIn and Telegram, luring them to participate in so-called “technical intervi",
1.0.0,actor--contagious-interview,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:9dfeacb9daa6d2911e54b443f8a63c0abf933280b500ec58c395d7f53e928dff,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 25}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 25} Contagious Interview hinyong Information Technology Development Cooperation Company but there are no further indications that Moonstone Sleet activity is currently or directly linked to Chinyong IT workers.61 Unconfirmed Affiliation: Contagious Interview DPRK cyber actors associated with the Contagious Interview cyber operations campaign pose ",
1.0.0,actor--contagious-interview,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:70cf87dc0986b3439993bb55bcf7f46589cb7ec6b1ed7c1e8e4c98cc5d5b8cef,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 25} Contagious Interview ny but there are no further indications that Moonstone Sleet activity is currently or directly linked to Chinyong IT workers.61 Unconfirmed Affiliation: Contagious Interview DPRK cyber actors associated with the Contagious Interview cyber operations campaign pose as job recruiters and use social engineering techniques to d",
1.0.0,actor--contagious-interview,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:565d8791ead5220993b365be093ad88cfa0513cf74802c6ce20e571b8bc3e333,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 4} Contagious Interview ................................................................. 22 Unconfirmed Affiliation: Moonstone Sleet. .............................................................................. 23 Unconfirmed Affiliation: Contagious Interview. ....................................................................... 23 Ⅱ. DPRK Cr",
1.0.0,actor--contagious-interview,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:6b64edc6d0e4092b4ab0e2336a0956dff641ec2cbc6c87d145f0077a6f1ec568,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--contagious-interview--14550d87803a3543,actor_profile/evidence/contagious-interview.csv,"{""row"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 4} Contagious Interview ............................................................................... 32 DPRK IT Workers ................................................................................................................... 34 Contagious Interview and Wagemole .........................................................................",
