schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--chimera,artifact--sha256:672702a0d75a0d05010b6ff7459a0af8129535111cefad218cb2a6a200374532,observation--sha256:74f7a0cc30ec2d8eb874735814a743e5f63828cb576e7e1b689751f1d8608cbf,file-name,2021-NCC-Group-Annual-Research-Report.pdf,2021-NCC-Group-Annual-Research-Report.pdf,candidate,,unknown,unknown,not-stated,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/2021-NCC-Group-Annual-Research-Report.pdf {""page"": 28} Chimera ommunity with information, intelligence, and historic data that can be used to hunt for the threat actor threat in historic data and improve detections for intrusions by this intrusion set. The APT group, known as “Chimera,” has been best known for abusing cloud services from Google and Microsoft to seek everything from intellectual property (IP) from victims in the semiconductor industry, through to data from the airlin",
1.0.0,actor--chimera,artifact--sha256:814807053cbb39701de3716234a98247a4a399d348290f3273557cd4bd2097a4,observation--sha256:b172ddd97e21aecdc07c1c8e3bf6ead2cd96e90d516cd64c1619a341d55e9065,file-name,20Chimera_V4.1.pdf,20Chimera_V4.1.pdf,candidate,2021-01-12T00:00:00Z,day,known,same-record,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} Chimera Chimera GELSEMIUM OwlProxy, SessionManager Taiwan semiconductors Likely a Chinese group, inconclusive overlap w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/a",
1.0.0,actor--chimera,artifact--sha256:814807053cbb39701de3716234a98247a4a399d348290f3273557cd4bd2097a4,observation--sha256:bb31a1e2247eef0616c1b9a1395f1b8c41d0c0663dd75cbc403175fe5f517fdc,file-name,20Chimera_V4.1.pdf,20Chimera_V4.1.pdf,candidate,2021-01-12T00:00:00Z,day,known,same-record,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} GELSEMIUM Chimera GELSEMIUM OwlProxy, SessionManager Taiwan semiconductors Likely a Chinese group, inconclusive overlap w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/abusing-clo",
1.0.0,actor--chimera,artifact--sha256:814807053cbb39701de3716234a98247a4a399d348290f3273557cd4bd2097a4,observation--sha256:5364d36e565843ac46b174e72ac1918c6c4944a4002fc0766ab16751148d7ebf,file-name,20Chimera_V4.1.pdf,20Chimera_V4.1.pdf,candidate,2021-01-12T00:00:00Z,day,known,same-record,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} chimera w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/abusing-cloud-services-to-fly-under-the-radar/ https://cycrafttechnology.medium.com/threat-attribution-chimera-under-the-radar-7c4cce390efd https://medium.com/@cycraft_corp/taiwan-government-targeted-by-multiple-cyberattacks-in-april-2020-3b20cea1dc20?source=rss-2eb56b81d7e4------2 https://i.blackhat.com/USA-20/",
1.0.0,actor--chimera,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:ea8569fcce4d2135b18749751583a3b8f41b311e1f070aba879eb81c8a980c73,file-name,Operations.xlsx,Operations.xlsx,candidate,2021-01-12T00:00:00Z,day,known,same-record,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} Chimera Chimera GELSEMIUM OwlProxy, SessionManager Taiwan semiconductors Likely a Chinese group, inconclusive overlap w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/a",
1.0.0,actor--chimera,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:f2d9c8296a06e36b166d1eb671a2814d26a5f87ea6a91ce27eeec59eb4ccf547,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-03-01T00:00:00Z,month,known,same-record,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} Chimera dar-7c4cce390efd https://medium.com/@cycraft_corp/taiwan-government-targeted-by-multiple-cyberattacks-in-april-2020-3b20cea1dc20?source=rss-2eb56b81d7e4------2 https://i.blackhat.com/USA-20/Thursday/us-20-Chen-Operation-Chimera-APT-Operation-Targets-Semiconductor-Vendors.pdf https://lab52.io/blog/chimera-apt-updates-on-its-owlproxy-malware/ https://www.welivesecurity.com/wp-content/uploads/2021/06/eset_gelsemium.pdf https://s",
1.0.0,actor--chimera,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:62d248d52e03cc474b84c92ab70af63e9a16e9f08a8a289916341762452ee9c9,file-name,Operations.xlsx,Operations.xlsx,candidate,2021-01-12T00:00:00Z,day,known,same-record,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} GELSEMIUM Chimera GELSEMIUM OwlProxy, SessionManager Taiwan semiconductors Likely a Chinese group, inconclusive overlap w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/abusing-clo",
1.0.0,actor--chimera,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:41f93fa3da822ec064a5a5ed2990aa62fdd111bfc36041f5f974527e7fd3aa98,file-name,Operations.xlsx,Operations.xlsx,candidate,2021-01-12T00:00:00Z,day,known,same-record,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} chimera w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/abusing-cloud-services-to-fly-under-the-radar/ https://cycrafttechnology.medium.com/threat-attribution-chimera-under-the-radar-7c4cce390efd https://medium.com/@cycraft_corp/taiwan-government-targeted-by-multiple-cyberattacks-in-april-2020-3b20cea1dc20?source=rss-2eb56b81d7e4------2 https://i.blackhat.com/USA-20/",
1.0.0,actor--chimera,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:c4de8cf20d37ec76743f3ce32c034999bc827dc42ccf751aaaf3d49c7ac16f28,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-03-01T00:00:00Z,month,known,same-record,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} chimera y-multiple-cyberattacks-in-april-2020-3b20cea1dc20?source=rss-2eb56b81d7e4------2 https://i.blackhat.com/USA-20/Thursday/us-20-Chen-Operation-Chimera-APT-Operation-Targets-Semiconductor-Vendors.pdf https://lab52.io/blog/chimera-apt-updates-on-its-owlproxy-malware/ https://www.welivesecurity.com/wp-content/uploads/2021/06/eset_gelsemium.pdf https://securelist.com/owowa-credential-stealer-and-remote-access/105219/ https://secur",
1.0.0,actor--chimera,artifact--sha256:f995185f572984deea7588de4cd2c0fb473c79b4efb06e43a613bd0dc59c097b,observation--sha256:5a1f2d15f4835a3de9214fd5dd94624a4ffe6a82c1913f25aebb811bb814146f,file-name,Report.pdf,Report.pdf,candidate,,unknown,unknown,not-stated,,source--chimera--d4c16ff82ad4d37c,actor_profile/evidence/chimera.csv,"{""row"": 29}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Qianxin 2023 APT Report.pdf {""page"": 113} gelsemium .https://www.ptsecurity.com/ww-en/analytics/pt-esc-threat-intelligence/space-pirates-a-look- into-the-group-s-unconventional-techniques-new-attack-vectors-and-tools/ 299.https://unit42.paloaltonetworks.com/rare-possible-gelsemium-attack-targets-se-asia/ 300.https://mp.weixin.qq.com/s/DZwbJ8-UTji29kH2on90fQ 301.https://mp.weixin.qq.com/s/dOQ5kA7MwQCDg2x_NgBoEA 302.https://www.barracuda.com/company/legal/esg-vulnerability 303.https:/",
