schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--earth-berberoka,artifact--sha256:df863562830a19caf7ce551d7890b4d603f8c52cd1b1c834010cad4ef5aec877,observation--sha256:dff44d6777f763d84a26427f72da4c987a89d477137c6f3ca1b484da4842153d,file-name,Crypto.com_Job_Opportunities_2022_confidential.pdf,Crypto.com_Job_Opportunities_2022_confidential.pdf,candidate,,unknown,unknown,not-stated,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/top-10-macos-malware-discoveries-in-2022.pdf {""page"": 1} Earth Berberoka lyticsagent ~/Library/WifiPreference/Crypto.com_Job_Opportunities_2022_confidential.pdf ~/Library/Fonts/Finder~/Library/Fonts/safarifontsagent 8. oRAT In late April 2022, TrendMicro reported on an APT group they dubbed Earth Berberoka (aka GamblingPuppet) targeting gambling websites. The threat actor targets the Windows, Linux, and macOS platforms, and uses malware families previously attributed to Chinese-spea",
1.0.0,actor--earth-berberoka,artifact--sha256:df863562830a19caf7ce551d7890b4d603f8c52cd1b1c834010cad4ef5aec877,observation--sha256:695de49fe3eb96a3a8077922118cf469b89fa28646a1becdb7bd4ab103ab9960,file-name,Crypto.com_Job_Opportunities_2022_confidential.pdf,Crypto.com_Job_Opportunities_2022_confidential.pdf,candidate,,unknown,unknown,not-stated,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/top-10-macos-malware-discoveries-in-2022.pdf {""page"": 1} GamblingPuppet /WifiPreference/Crypto.com_Job_Opportunities_2022_confidential.pdf ~/Library/Fonts/Finder~/Library/Fonts/safarifontsagent 8. oRAT In late April 2022, TrendMicro reported on an APT group they dubbed Earth Berberoka (aka GamblingPuppet) targeting gambling websites. The threat actor targets the Windows, Linux, and macOS platforms, and uses malware families previously attributed to Chinese-speaking individuals. The ",
1.0.0,actor--earth-berberoka,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:a34d4102fb904157bae66b410a7da8c46f025d1e664a8c6e95e48d17d8d45a67,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 113, ""sheet"": ""China""} Earth Berberoka Earth Berberoka GamblingPuppet, Gambling Puppet Chinese gambling websites, one education-related government institution, two IT services companies, and one electronics manufacturing company Emissary Panda, Iron Tiger https://www.botcon",
1.0.0,actor--earth-berberoka,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:b7f1b735d765115d90298ee67e9f23c73d00ed908ec620b3a7f105384eb8419c,file-name,Operations.xlsx,Operations.xlsx,candidate,2022-05-01T00:00:00Z,month,known,same-record,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 113, ""sheet"": ""China""} Gambling Puppet Earth Berberoka GamblingPuppet, Gambling Puppet Chinese gambling websites, one education-related government institution, two IT services companies, and one electronics manufacturing company Emissary Panda, Iron Tiger https://www.botconf.eu/wp-content/uploads/2022/05/",
1.0.0,actor--earth-berberoka,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:8ca8324f5e3eb97008202b73268c3f9a040e9885397f1daaa18948ef3d252ffb,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 113, ""sheet"": ""China""} GamblingPuppet Earth Berberoka GamblingPuppet, Gambling Puppet Chinese gambling websites, one education-related government institution, two IT services companies, and one electronics manufacturing company Emissary Panda, Iron Tiger https://www.botconf.eu/wp-content",
1.0.0,actor--earth-berberoka,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:866d0efea7ed0827f6899119d8f0f60026e5523da50c1419188bf521401434e4,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 49, ""sheet"": ""China""} Earth Berberoka Token, Iron Tiger G0027 A Tale of Two Targets PlugX, China Chopper Webshell, HttpBrowser, Hunter, ASPXTool, wce, gsecdump, nbtscan, htran US Gov and contractors, Western think tanks, Gaming, iGaming, Gambling DEV-0322, Earth Berberoka Suspected South Korean group? https://attack.mitre.org/groups/G0012/ http://www.secureworks.com/cyber-threat-intelligence/threats/threat-group-3390-targets-organizations-for-cyberespionage",
1.0.0,actor--earth-berberoka,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:890bc5193e33dd17dff547d55a28bd622cc9a470475ca37f8750b935b156538d,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 92} Earth Berberoka заинтересованы отстоять свои экономиче- ские или военные интересы. Америка • ChamelGang • MalKamak • DEV-0343 • Kimsuky • DEV-0322 • DarkHalo • Earth Lusca • APT35 • BlackEnergy • Moses Staff • Red Menshen • Machete • Earth Berberoka • Turla • APT41 • APT37 • LuoYu • APT10 • Lazarus • Praying Mantis • Cloud Atlas Европа • ChamelGang • MalKamak • DEV-0343 • APT35 • APT31 • Lazarus • MuddyWater • DarkHalo • Gh",
1.0.0,actor--earth-berberoka,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:5836262ccdc1258aa97f83d0b675b1acd838e933da8b2aa2b5af718960bd5420,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 92} Earth Berberoka Trooper • Patchwork • Donot • Scarab • Mustang Panda • APT35 • BlackEnergy • APT10 • APT-C-40 • Transparent Tribe • Exforel • VajraEleph • Sharp Panda • Red Menshen • Aoqin Dragon • APT40 • TA428 • Naikon • Earth Berberoka • Aggah • DarkOxide • APT-C-61 • DriftingCloud • LuoYu • ToddyCat • TA413 • TA410 • DarkHotel Ближний Восток и Африка • MalKamak • DEV-0343 • HEXANE • DEV-0056 • AridViper • Lazarus • WIRT",
1.0.0,actor--earth-berberoka,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:bab9e446210127165b845d6252e557709fa614bbe673b79172cdb44accf62c4c,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 112} Earth Berberoka ое обеспечение, распространяемое постав - щиками средств защиты, для загрузки неопубликованных вариантов ShadowPad и PlugX. Некоторые действия частично совпадают с груп - пировками, такими как RedFoxtrot и Nomad Panda. Earth Berberoka Регион Начало операции TOP Mitre АТР, Америка Декабрь 2020 • Supply Chain Compromise (T1195) • Virtualization/Sandbox Evasion (T1497) • Process Injection (T1055) • Credentials",
1.0.0,actor--earth-berberoka,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:3c6209fe0fe2bfc806bc8577f86294ff8c3262f438ce4393245bec8f6f79bd6f,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--earth-berberoka--1ee1533d6cfe60f0,actor_profile/evidence/earth-berberoka.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 112} Earth Berberoka box Evasion (T1497) • Process Injection (T1055) • Credentials from Password Stores (T1555) • Screen Capture (T1113) Согласно анализу, эта группа нацелена на сайты с азартными играми. Расследование также показало, что Earth Berberoka нацелена на плат - формы Windows, Linux и macOS и использует семейства вредоносных программ, которые исторически приписывались синоязычным группам.",
