schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--calypso,artifact--sha256:78a45422822c4eace0b6988f384bbb1f8d50e5ff77770bf917b2f596e36356bf,observation--sha256:7fccae2caac11f70807d416a56c2d7b6638764531780f86ba76ad27e911e9263,command,"summary/2024/Raport-analize-PROFILI-I-GRUPEVE-TE-HAKERAVE-IRANIANE.pdf {""page"": 66} MIRAGE c 084ad50044d6650f9ed314e99351a608 08dc5c2af21ecee6f2b25ebdd02a9079 2a09c5d85667334d9accbd0e06ae9418 2fe42c52826787e24ea81c17303484f9 37bdb9ea33b2fe621587c887f6fb2989 Organizatat UNC3890 NEMESIS KITTEN (COBALT MIRAGE, UNC2448, and DEV-0270) Pioneer Kitten (Fox Kitten, Lemon Sandstorm, PARISITE, UNC757) Vektorët e sulmeve Phishing ShellCode Powershell Attack Credential Harvesting Watering hole attack Kompanitë e prekura Mand","summary/2024/Raport-analize-PROFILI-I-GRUPEVE-TE-HAKERAVE-IRANIANE.pdf {""page"": 66} MIRAGE c 084ad50044d6650f9ed314e99351a608 08dc5c2af21ecee6f2b25ebdd02a9079 2a09c5d85667334d9accbd0e06ae9418 2fe42c52826787e24ea81c17303484f9 37bdb9ea33b2fe621587c887f6fb2989 Organizatat UNC3890 NEMESIS KITTEN (COBALT MIRAGE, UNC2448, and DEV-0270) Pioneer Kitten (Fox Kitten, Lemon Sandstorm, PARISITE, UNC757) Vektorët e sulmeve Phishing ShellCode Powershell Attack Credential Harvesting Watering hole attack Kompanitë e prekura Mand",candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 73}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Raport-analize-PROFILI-I-GRUPEVE-TE-HAKERAVE-IRANIANE.pdf {""page"": 66} MIRAGE c 084ad50044d6650f9ed314e99351a608 08dc5c2af21ecee6f2b25ebdd02a9079 2a09c5d85667334d9accbd0e06ae9418 2fe42c52826787e24ea81c17303484f9 37bdb9ea33b2fe621587c887f6fb2989 Organizatat UNC3890 NEMESIS KITTEN (COBALT MIRAGE, UNC2448, and DEV-0270) Pioneer Kitten (Fox Kitten, Lemon Sandstorm, PARISITE, UNC757) Vektorët e sulmeve Phishing ShellCode Powershell Attack Credential Harvesting Watering hole attack Kompan",
1.0.0,actor--calypso,artifact--sha256:3cb44e4c9b63095778363ff8ba5e86173e7b58cdd465cc3bbcd39d6e34dfe17c,observation--sha256:7492537b08a5cc9d66b4d3729ae67a701c9b05f54e2ee83541d0d8f3c329644a,file-name,1.bat,1.bat,candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 35}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"parse-daily/.cache/tech-memo/daily-news/iocs/2026_04-06/20260522.csv {""row"": 3} Calypso ps://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms AI generated. IP hosting malicious files (e.g. 1.bat) in Windows attack chain attributed to Calypso/Red Lamassu. AI agent medium",
1.0.0,actor--calypso,artifact--sha256:aa073399681a6a0e5450330ccf8c8701895150d2d00db6fa7ef4b73b236d9e11,observation--sha256:73e04c55cb7b0e0137692922d423e460499d59f89119194255606cd938d43afc,file-name,200407-MWB-COVID-White-Paper_Final.pdf,200407-MWB-COVID-White-Paper_Final.pdf,candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"COVID/200407-MWB-COVID-White-Paper_Final.pdf {""page"": 20} Calypso ibility of embedding any object type within makes RTF files vulnerable to many OLE objects related vulnerabilities. Several threat actors, especially Chinese ones, use RTF files in their campaigns. Among them are the Calypso group and Winnti threat actors who have used RTF files in their COVID-19 campaigns. Calypso Group Calypso is a Chinese APT group that has been performing cyber espionage operations since 201618, 19. The group ",
1.0.0,actor--calypso,artifact--sha256:aa073399681a6a0e5450330ccf8c8701895150d2d00db6fa7ef4b73b236d9e11,observation--sha256:f8b1528f838258a7681ec3a34cbd2c93e4883956813be2f6c11c2705fc92e9c9,file-name,200407-MWB-COVID-White-Paper_Final.pdf,200407-MWB-COVID-White-Paper_Final.pdf,candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"COVID/200407-MWB-COVID-White-Paper_Final.pdf {""page"": 20} Calypso elated vulnerabilities. Several threat actors, especially Chinese ones, use RTF files in their campaigns. Among them are the Calypso group and Winnti threat actors who have used RTF files in their COVID-19 campaigns. Calypso Group Calypso is a Chinese APT group that has been performing cyber espionage operations since 201618, 19. The group has targeted governments in Brazil, India, Kazakhstan, Russia, Thailand, Belarus, Mongolia, ",
1.0.0,actor--calypso,artifact--sha256:aa073399681a6a0e5450330ccf8c8701895150d2d00db6fa7ef4b73b236d9e11,observation--sha256:f7e5dbecab90936507a4e02bb88260cc6d7eb72cd0c3d6ea5d6f3c871bb24165,file-name,200407-MWB-COVID-White-Paper_Final.pdf,200407-MWB-COVID-White-Paper_Final.pdf,candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"COVID/200407-MWB-COVID-White-Paper_Final.pdf {""page"": 20} Calypso bilities. Several threat actors, especially Chinese ones, use RTF files in their campaigns. Among them are the Calypso group and Winnti threat actors who have used RTF files in their COVID-19 campaigns. Calypso Group Calypso is a Chinese APT group that has been performing cyber espionage operations since 201618, 19. The group has targeted governments in Brazil, India, Kazakhstan, Russia, Thailand, Belarus, Mongolia, and Turkey. In",
1.0.0,actor--calypso,artifact--sha256:aa073399681a6a0e5450330ccf8c8701895150d2d00db6fa7ef4b73b236d9e11,observation--sha256:4445cca20f38536cc225911456bfc4e10200f3b26a9c5c5865bf6d7683c21b3e,file-name,200407-MWB-COVID-White-Paper_Final.pdf,200407-MWB-COVID-White-Paper_Final.pdf,candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"COVID/200407-MWB-COVID-White-Paper_Final.pdf {""page"": 20} Calypso n performing cyber espionage operations since 201618, 19. The group has targeted governments in Brazil, India, Kazakhstan, Russia, Thailand, Belarus, Mongolia, and Turkey. In the new campaign, called Vicious Panada, Calypso Group has targeted the Mongolian public sector by sending malicious RTF files to victims disguised as COVID-19 related documents20. The RTF file has been weaponized with the Royal Road RTF weaponization tool. T",
1.0.0,actor--calypso,artifact--sha256:aa073399681a6a0e5450330ccf8c8701895150d2d00db6fa7ef4b73b236d9e11,observation--sha256:6707989fff51ef0f3876bd6ca94d4c3669c93f0e1176fe921f2145b513a29c5f,file-name,200407-MWB-COVID-White-Paper_Final.pdf,200407-MWB-COVID-White-Paper_Final.pdf,candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"COVID/200407-MWB-COVID-White-Paper_Final.pdf {""page"": 2} Calypso ................................................................................................19 RTF exploit .........................................................................................................20 Calypso Group ......................................................................................................20 Chinese actor (Winnti) ..........................................................................",
1.0.0,actor--calypso,artifact--sha256:650678ea7afd77e92e8d5418a498ef0f8d63e9fd71fac61443c265baaf83dd73,observation--sha256:163806a1b7faf5b6f91d76a4d213760bc651cb7c9685f3b91d1d89b75a10fd0b,file-name,360_APT_Annual_Research_Report_2022.pdf,360_APT_Annual_Research_Report_2022.pdf,candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 62}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/360_APT_Annual_Research_Report_2022.pdf {""page"": 55} MIRAGE 年2月17日 APT35 Log4j2 野外|威 胁 组 织“TunnelVision ”积 极 利 用VMware Horizon [28] 2022年4月27日 Lazarus Stoneﬂy:与朝鲜半岛有关的间谍行动继续打击高价值目标 [29] 2022年3月28日 UNC961 Forged in Fire: MobileIron Log4shell 漏洞利用研究 报告[30] 2022年5月12日 APT35 COBALT MIRAGE 开展勒索攻击活动 [31] 2022年5月12日 Lazarus 利用Log4Shell 漏洞的 Lazarus 组 织（NukeSped ）[32] 2022年8月25日 MERCURY MERCURY 组织利用未修补系统中的 Log4j2 漏洞发起攻击 活动[33] 2022年9月8日 Lazarus 分析Lazarus 组织的三个RAT[34] 2022年9月14日 CharmingKitte",
1.0.0,actor--calypso,artifact--sha256:650678ea7afd77e92e8d5418a498ef0f8d63e9fd71fac61443c265baaf83dd73,observation--sha256:e0a6ce094b9a09209a0fa768ca27088acfa8d53d8a278de592d62ce038752178,file-name,360_APT_Annual_Research_Report_2022.pdf,360_APT_Annual_Research_Report_2022.pdf,candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 63}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/360_APT_Annual_Research_Report_2022.pdf {""page"": 55} MIRAGE 漏洞的 Lazarus 组 织（NukeSped ）[32] 2022年8月25日 MERCURY MERCURY 组织利用未修补系统中的 Log4j2 漏洞发起攻击 活动[33] 2022年9月8日 Lazarus 分析Lazarus 组织的三个RAT[34] 2022年9月14日 CharmingKitten APT组织利用漏洞进行数据勒索和磁盘加密 [35] 2022年12月9日 CharmingKitten 分析COBALT MIRAGE 的新恶意软件 Drokbk [36]",
1.0.0,actor--calypso,artifact--sha256:650678ea7afd77e92e8d5418a498ef0f8d63e9fd71fac61443c265baaf83dd73,observation--sha256:dda793f866b596fcbb5c78591196f80c6b28afea0f8f822b6826354ec3172ca6,file-name,360_APT_Annual_Research_Report_2022.pdf,360_APT_Annual_Research_Report_2022.pdf,candidate,,unknown,unknown,not-stated,,source--calypso--3c36875326389864,actor_profile/evidence/calypso.csv,"{""row"": 64}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/360_APT_Annual_Research_Report_2022.pdf {""page"": 60} MIRAGE 击 活 动 分 析 报 告[41] 加密货币 2022年5月3日 Trellix 披露与 Lazarus 有关的VHD勒索软件 [42] 勒索攻击 2022年7月6日 朝鲜半岛组织被披露使用 Maui 勒索软件攻击医疗保健和公共卫生 部门[43] 勒索攻击 2022年8月10日 卡巴斯基披露 DeathStalker 对外汇和加密货币交易所的持续攻 击[44] 加密货币 2022年9月14日 SecureWorks 披露COBALT MIRAGE 的勒索软件活动 [45] 勒索攻击",
