schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--vice-society,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:07fba3f9bdcf19bf04eb7a0d0b56a8f9d544294fea0aa83a74bfbce164b0649b,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 51} Vice Society 行 Micro-Star MSI Afterburner权限提升 Babuk Play、Hive AvosLocker AvosLocker 、Cerber QNAPCrypt 、 Qlocker QNAPCrypt 、Qlocker CryptoMix FiveHands FiveHands FiveHands DeadBolt H0lyGh0st Lorenz Black Basta Black Basta Black Basta、Vice Society Black Basta Vice Society BlackByte AvosLocker 、BlackCat、 LockFile、Babuk、Hive AvosLocker 、BlackCat、 LockFile、Babuk、Hive AvosLocker 、BlackCat、 LockFile、Babuk、HiveMicrosoft Excha",
1.0.0,actor--vice-society,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:69b307f2aa11645d6d246a7c22a002646331c59abb7d5cbc9d665d961d573fe9,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 51} Vice Society ner权限提升 Babuk Play、Hive AvosLocker AvosLocker 、Cerber QNAPCrypt 、 Qlocker QNAPCrypt 、Qlocker CryptoMix FiveHands FiveHands FiveHands DeadBolt H0lyGh0st Lorenz Black Basta Black Basta Black Basta、Vice Society Black Basta Vice Society BlackByte AvosLocker 、BlackCat、 LockFile、Babuk、Hive AvosLocker 、BlackCat、 LockFile、Babuk、Hive AvosLocker 、BlackCat、 LockFile、Babuk、HiveMicrosoft Exchange授权任意文件写入漏洞 Microsoft E",
1.0.0,actor--vice-society,artifact--sha256:6f834f8a04529d3a29f8aae7897db1b2a603ba9804605e61b2235542d5d180d5,observation--sha256:ddccb3ca2ad4ffccbf6786f206b8237ba16194ec951ac805ed741c6a6ba542b4,file-name,2024-security-report.pdf,2024-security-report.pdf,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2024-security-report.pdf {""page"": 8} Vice Society ANUARY A database containing over 14 million usernames and passwords was found on a dark web forum, and within this database were more than 100,000 logins for portals belonging to Australian government agencies. The Vice Society ransomware group has been conducting a series of widespread attacks targeting schools in both the United Kingdom and the United States. In response to these developments, the Federal Bureau of Investigation (",
1.0.0,actor--vice-society,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:f1cd0fe9f5bc3c5e93582e05572574cd3752efd5be3cb0097f57578abd84edf0,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"cybercrime/2024/Semiannual+Ransomware+Report+-+H1+2024.pdf {""page"": 14} Vice Society 9% of the group’s total victims. Blacksuit had the second most victims with 7, accounting for 11% of their total victims. In the GRF H2 2023 report, it was noted that Rhysida ransomware group, the reported rebrand of Vice Society ransomware, had the second most attacks against the sector. They had previously been known to specifically target Healthcare and Education. However, in H1 2024 Rhysida had no victims in",
1.0.0,actor--vice-society,artifact--sha256:afbd89c73749eca99773969ea328a19c1537be31fd7799237b00dc866f97f972,observation--sha256:46f0050389aca1e15919ea744e380c720a289a05a2f2ed778ee665517d4e88c0,file-name,2024_Trustwave_Public_Sector_Threat_Landscape.pdf,2024_Trustwave_Public_Sector_Threat_Landscape.pdf,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2024_Trustwave_Public_Sector_Threat_Landscape.pdf {""page"": 64} Vice Society ferent ransomware groups (Fig 48) active in the public sector, with LockBit, Medusa, and Play being the most prevalent. 0% 10% 20% 30% 40% 50% LockBit 3.0 Medusa Play BianLian SnatchTeam Royal NoEscape AlphV BlackByte Vice Society 43% 13% 12% 6% 6% 4% 4% 4% 4% 4% Figure 48: Ransomware groups attacks on public sector Initial Foothold Malware Exfiltration / Post Compromise HTML Attachment Command Line Malware ",
1.0.0,actor--vice-society,artifact--sha256:1fd6f9625846dde38af8b9f084297b312af299dfed9468028080f9c02233011d,observation--sha256:34867a71b453d5bd5a0212708152f33cbcff12e065efff98012bdd1886fb32f8,file-name,2025.pdf,2025.pdf,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Global Threat Report 2025.pdf {""page"": 24} Vice Society attacks on the same targets, raising risks for organizations caught in the crossfire. DragonForce This group continues to target vulnerable institutions in education and healthcare, where defenses are typically weaker. Vice Society’s hallmark is a double-extortion model that pressures victims with both data encryption and public leaks. Vice Society Strategic Takeaways The ransomware landscape in 2025 is increasingly characteriz",
1.0.0,actor--vice-society,artifact--sha256:1fd6f9625846dde38af8b9f084297b312af299dfed9468028080f9c02233011d,observation--sha256:cf9ac4c478b70cb321ac83e595925d953e701b0e6dcf78de93d74ae5e99acb1a,file-name,2025.pdf,2025.pdf,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 29}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Global Threat Report 2025.pdf {""page"": 24} Vice Society to target vulnerable institutions in education and healthcare, where defenses are typically weaker. Vice Society’s hallmark is a double-extortion model that pressures victims with both data encryption and public leaks. Vice Society Strategic Takeaways The ransomware landscape in 2025 is increasingly characterized by agility, specialization, and collaboration among cybercriminals. Ransomware-as-a- Service (RaaS) remains a domina",
1.0.0,actor--vice-society,artifact--sha256:699abe1aab9999afc37dbbde1675e86aca7c2ba1a0b8293c58f302eba47af3e4,observation--sha256:ac2daec2c02b718e7aca8ef6a470e0f602aadb6d3509dfe5ac46d822bc479fe0,file-name,MDDR_FINAL_2023_1004.pdf,MDDR_FINAL_2023_1004.pdf,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/MDDR_FINAL_2023_1004.pdf {""page"": 20} Vice Society iants that achieved breaches A 16% Lockbit 3.0 B 14% BlackBasta C 14% Blackcat D 12% Royal E 44% BlackByte Hive, Play Akira, BitLocker Cartel, Cuba Dagoned Gazprom Lorenz Prestige Ragnarlocker Rorschach Vice Society Dharma Source: Microsoft Incident Response Human-operated ransomware variants that achieved breaches Ransomware accounted for 31 percent of all Microsoft Incident Response customer engagements. Looking at success",
1.0.0,actor--vice-society,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:99d3faaac944d134afed1d1b535d8205f912659f613abc7a129ae3327cb15109,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 29, ""sheet"": ""Russia""} Vice Society Vice Society PrintNightmare, HelloKitty and Zeppelin ransomware Education and research institutes https://socradar.io/dark-web-profile-vice-society/ https://www.cybersecuritydive.com/news/microsoft-leaks-vice-society-playbook/634964",
1.0.0,actor--vice-society,artifact--sha256:950ef08a172ed8f9468261fdab640d81b375ec5ea52abe4b9910a7b6f4d12351,observation--sha256:9fe76d3fec49f60dcec836be485cb2d8861eb1ec89da8c521d98fb6567b0b26c,file-name,RedReport2023-Picus.pdf,RedReport2023-Picus.pdf,candidate,,unknown,unknown,not-stated,,source--vice-society--cbb2021149e25c3a,actor_profile/evidence/vice-society.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/RedReport2023-Picus.pdf {""page"": 165} Vice Society [Accessed: Jan. 09, 2023] [58] Canonical, “Ubuntu Manpage: unshadow - combines passwd and shadow files.” https://manpages.ubuntu.com/manpages/xenial/man8/unshadow.8.html. [Accessed: Jan. 09, 2023] [59] S. Ozarslan, “Vice Society Ransomware Group,” Aug. 22, 2022. https://www.picussecurity.com/resource/vice-society-ransomware-group. [Accessed: Jan. 09, 2023] [60] H. C. Yuceel, “Zeppelin Ransomware Analysis, Simulation, and Mitigation,",
